,Brand,Distributor,LinkofProduct,Name,Price,SKU
66,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-300mbps-lte-advanced-mobile-wi-fi-m7450.html,TP-Link 300Mbps LTE-Advanced Mobile Wi-Fi M7450,RM439.00,"""TP-M7450"";"
67,"""ASUS"";","""7158"";",https://www.senheng.com.my/asus-zenbook14-14-inch-i5-1135g7-8g-on-bd-512g-asu-ux425e-abm067ts.html,ASUS Zenbook14 14 Inch (I5-1135G7/8G[ON BD]/512G) ASU-UX425E-ABM067TS,"RM3,999.00","""ASU-UX425E-ABM067TS"";"
68,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-surface-usb-3-0-adapter-ms-mic-jty-00007.html,Microsoft Surface USB 3.0 Adapter MS-MIC-JTY-00007,RM158.00,"""MS-MIC-JTY-00007"";"
69,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac1200-whole-home-mesh-wi-fi-system-deco-e4(2-pack).html,TP-Link AC1200 Whole Home Mesh Wi-Fi System Deco E4(2-Pack),RM299.00,"""TP-DECOE4.2PK"";"
70,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac1200-wireless-dual-band-pci-express-adapter-archer-t4e.html,TP-Link AC1200 Wireless Dual Band PCI Express Adapter Archer T4E,RM115.00,"""TP-ARCHERT4E"";"
71,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-mpg-artymis-343cqr-34-inch-monitor-msi-mpg343cqr.html,MSI MPG ARTYMIS 343CQR 34 Inch Monitor MSI-MPG343CQR,"RM3,999.00","""MSI-MPG343CQR"";"
72,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-surface-book-3.html,Microsoft Surface Book 3,"RM7,788.00","""MS-MIC-BOOK3-CFG"";"
73,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-23-6-inch-g-series-monitor-optix-g24c4.html,MSI 23.6 Inch G Series Monitor Optix G24C4,RM858.00,"""MSI-G24C4"";"
74,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac600-high-gain-wireless-dual-band-usb-adapter-archer-t2u-plus.html,TP-Link AC600 High Gain Wireless Dual Band USB Adapter Archer T2U Plus,RM75.00,"""TP-ARCHERT2UPLUS"";"
75,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-usb-c-travel-hub-black.html,Microsoft USB-C Travel Hub-Black,RM445.00,"""MS-MIC-SWV-00005"";"
76,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-sculpt-comfort-mouse-ms-mic-h3s-00005.html,Microsoft Sculpt Comfort Mouse MS-MIC-H3S-00005,RM164.00,"""MS-MIC-H3S-00005"";"
77,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-deco-m5(3-pack)-ac1300-whole-home-mesh-wi-fi-system.html,TP-Link Deco M5(3-pack),RM799.00,"""TP-DECO-M5.3PK"";"
78,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-300mbps-mini-wireless-n-usb-adapter-tl-wn823n.html,TP-Link 300Mbps Mini Wireless N USB Adapter TL-WN823N,RM36.00,"""TP-TL-WN823N"";"
